Park,Full Park Name,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,totalVisitors2022,parkID,parkCode,Designation,Latitude,Longitude,entranceFee,entranceFeeDesc,State
Denali NP & PRES,Denali National Park & Preserve,403.0,952.0,2073.0,4237.0,37305.0,104177.0,115369.0,112709.0,43372.0,3191.0,1978.0,1796.0,427562.0,C0BF2A42-E353-4FAE-B4C4-AA0676B58100,dena,National Park & Preserve,63.29777484,-151.05265680000002,15.00,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff.",AK
Devils Tower NM,Devils Tower National Monument,3058.0,4452.0,8711.0,10530.0,41593.0,100519.0,108965.0,102326.0,62916.0,28766.0,6302.0,2575.0,480713.0,335368E4-B5CE-4370-8324-4A841AFA5025,deto,National Monument,44.59064655,-104.71563409999999,25.00,"Fee for a single, private, non-commercial vehicle and all its passengers.  Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find better parking options.",WY
Dinosaur NM,Dinosaur National Monument,6132.0,4954.0,9953.0,19320.0,42012.0,69510.0,64074.0,56210.0,39688.0,21332.0,10397.0,7437.0,351019.0,061D9754-B947-48FD-99BE-1FE1AAD1BB90,dino,National Monument,40.50739742,-108.93337140000001,25.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.","CO,UT"
Dry Tortugas NP,Dry Tortugas National Park,6633.0,6220.0,7528.0,7562.0,7951.0,7460.0,6849.0,6725.0,5357.0,3603.0,5630.0,6970.0,78488.0,167A05D1-5793-49E0-89FE-0A1DDFA9A7F4,drto,National Park,24.628741,-82.87319000000001,Free,,FL
Dwight D. Eisenhower MEM,Dwight D. Eisenhower Memorial,31381.0,42219.0,130336.0,102933.0,110138.0,117848.0,37711.0,39974.0,36776.0,38247.0,43219.0,29821.0,760603.0,658C035B-119B-4C6F-9720-67872AD6A8A5,ddem,Memorial,38.886947664699996,-77.018737554,Free,,DC
Effigy Mounds NM,Effigy Mounds National Monument,1854.0,2561.0,2816.0,2339.0,5544.0,7292.0,9914.0,7113.0,4874.0,9058.0,1444.0,1613.0,56422.0,0265E5A4-576A-4626-882A-05971DEE9B76,efmo,National Monument,43.08095081,-91.19687517,Free,,IA
Eisenhower NHS,Eisenhower National Historic Site,36.0,29.0,291.0,1509.0,1892.0,4469.0,3405.0,3796.0,4609.0,938.0,176.0,1100.0,22250.0,29621EB6-DFBA-40DD-A880-FE29BE9EE2D7,eise,National Historic Site,39.79577592,-77.26508101,Free,,PA
El Malpais NM,El Malpais National Monument,8349.0,8951.0,14763.0,17186.0,20082.0,15501.0,15331.0,12758.0,15360.0,15212.0,10792.0,8470.0,162755.0,0826F21E-43A2-4675-8D2A-11F676293364,elma,National Monument,34.88422799,-107.99509479999999,Free,,NM
El Morro NM,El Morro National Monument,2663.0,2182.0,4506.0,6369.0,7539.0,5587.0,7392.0,5748.0,6873.0,5320.0,3528.0,2794.0,60501.0,F894BEB4-0058-4FB9-9E5B-68DB9A5BD198,elmo,National Monument,35.03895916,-108.34639840000001,Free,,NM
Eleanor Roosevelt NHS,Eleanor Roosevelt National Historic Site,478.0,603.0,484.0,1464.0,1458.0,2036.0,2683.0,2449.0,1566.0,3857.0,1210.0,788.0,19076.0,04CB5DB1-522B-4C2C-BB3F-C36361E391E7,elro,National Historic Site,41.76208482,-73.89894026,Free,,NY
Eugene O'Neill NHS,Eugene O'Neill National Historic Site,1522.0,2199.0,1566.0,1632.0,1838.0,1563.0,1652.0,1347.0,1864.0,1570.0,1459.0,542.0,18754.0,353241CC-4C4A-4F9E-A928-EFDCE2C6E29A,euon,National Historic Site,37.82604456,-122.02715659999998,Free,,CA
Everglades NP,Everglades National Park,139538.0,156859.0,136512.0,132171.0,91086.0,85214.0,80773.0,86642.0,61057.0,44197.0,64825.0,76319.0,1155193.0,5EA02193-276A-4037-B7DB-5765A56935FD,ever,National Park,25.37294225,-80.88200301,30.00,Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances.,FL
Federal Hall NMEM,Federal Hall National Memorial,0.0,0.0,0.0,0.0,1679.0,4536.0,4917.0,9503.0,4318.0,5863.0,4377.0,5036.0,40229.0,2337D255-2D32-4997-957A-D461EEA03AF8,feha,National Memorial,40.70731192,-74.01025636,Free,,NY
Fire Island NS,Fire Island National Seashore,3526.0,9205.0,8290.0,14911.0,29357.0,61304.0,98336.0,70523.0,46556.0,29347.0,15689.0,6705.0,393749.0,8A31246D-5AB9-4A0E-8FBA-A9780C468935,fiis,National Seashore,40.69668638,-73.00013462,Free,,NY
First Ladies NHS,First Ladies National Historic Site,134.0,110.0,262.0,524.0,682.0,850.0,1191.0,891.0,618.0,616.0,232.0,1036.0,7146.0,35CB040E-765C-47D0-A594-05943E64EF3E,fila,National Historic Site,40.79689857,-81.37579869,Free,,OH
Flight 93 NMEM,Flight 93 National Memorial,5388.0,7449.0,15762.0,27915.0,39335.0,41475.0,45185.0,41150.0,46662.0,50938.0,19058.0,6242.0,346559.0,CA3ABD4B-B2BB-4949-9705-60CADB175FC4,flni,National Memorial,40.06061476,-78.89456905,Free,,PA
Florissant Fossil Beds NM,Florissant Fossil Beds National Monument,1920.0,1875.0,2868.0,4355.0,5992.0,9720.0,12418.0,8732.0,9650.0,5642.0,2190.0,1812.0,67174.0,1F38885B-538E-499C-B5A6-30D76267AC7F,flfo,National Monument,38.91260586,-105.28033959999999,10.00,"$10 per adult (age 16 years or older). Admission is good for 7 days. Anyone under the age of 16 years is free. Fee covers entrance to all areas of the Monument including visitor center exhibits, film, outdoor exhibit area, hiking trails, picnic areas, Hornbek Homestead,self-guided tours, and ranger programs.",CO
Ford's Theatre NHS,Ford's Theatre National Historic Site,5868.0,10840.0,29648.0,43245.0,37505.0,35592.0,38844.0,20566.0,10657.0,28788.0,25191.0,32852.0,319596.0,,,,,,,,
Fort Bowie NHS,Fort Bowie National Historic Site,1005.0,1149.0,1480.0,925.0,471.0,284.0,258.0,126.0,391.0,459.0,647.0,718.0,7913.0,5AD68231-8681-43F6-89B1-08E5AA4C7FE6,fobo,National Historic Site,32.14925942,-109.451132,Free,,AZ
Fort Caroline NMEM,Fort Caroline National Memorial,38482.0,32351.0,32668.0,32712.0,31090.0,21553.0,11839.0,20788.0,24773.0,29445.0,26809.0,26853.0,329363.0,,,,,,,,
Fort Davis NHS,Fort Davis National Historic Site,2434.0,3119.0,8562.0,5081.0,3506.0,3340.0,3373.0,2238.0,2829.0,3804.0,3700.0,3415.0,45401.0,DE70B987-01A4-4BA5-9662-030BE3329AB3,foda,National Historic Site,30.59930381,-103.89619040000001,10.00,Per Person entry.,TX
Fort Donelson NB,Fort Donelson National Battlefield,10340.0,11912.0,15707.0,16772.0,20468.0,17356.0,18064.0,18410.0,15999.0,16268.0,12609.0,9733.0,183638.0,7DD7A9E8-E1E9-4759-A764-5FF81FC520ED,fodo,National Battlefield,36.49019078,-87.92445695,Free,,"KY,TN"
Fort Frederica NM,Fort Frederica National Monument,12839.0,24049.0,28284.0,24279.0,26764.0,23139.0,23452.0,13996.0,16458.0,17612.0,16649.0,17693.0,245214.0,4301F6E9-750B-489D-B8E4-4204165894A1,fofr,National Monument,31.221469899999995,-81.39452014,Free,,GA
Fort Laramie NHS,Fort Laramie National Historic Site,784.0,782.0,1589.0,2002.0,6768.0,5944.0,6810.0,4752.0,5260.0,3362.0,879.0,725.0,39657.0,53C5C818-EB7C-4FEB-B94F-892588205D64,fola,National Historic Site,42.20301694,-104.5459112,Free,,WY
Fort Larned NHS,Fort Larned National Historic Site,972.0,980.0,1488.0,2998.0,3427.0,3417.0,3375.0,2646.0,2378.0,2200.0,1186.0,1152.0,26219.0,6C6ABAB9-7F52-4172-8009-817612726CFF,fols,National Historic Site,38.18047491,-99.21836664,Free,,KS
Fort Matanzas NM,Fort Matanzas National Monument,39819.0,49046.0,57052.0,63529.0,71785.0,77684.0,78360.0,71003.0,56559.0,50290.0,39888.0,43880.0,698895.0,31E84ADD-24C1-400B-9D8B-4588D8DC521C,foma,National Monument,29.7121489,-81.23567535,Free,,FL
Fort McHenry NM & HS,Fort McHenry National Monument and Historic Shrine,6056.0,4754.0,9792.0,11524.0,19800.0,10497.0,41369.0,46782.0,23000.0,28408.0,14877.0,7098.0,223957.0,B0DE766C-E87F-48BE-A94F-C9D774AD52FD,fomc,National Monument and Historic Shrine,39.26395314,-76.58044165,Free,,MD
Fort Necessity NB,Fort Necessity National Battlefield,3421.0,2831.0,8402.0,10124.0,14023.0,34621.0,42196.0,35314.0,30889.0,45054.0,26377.0,5041.0,258293.0,D2E64293-4B46-4F1A-8902-7D0FCAD268C0,fone,National Battlefield,39.81306048,-79.59033344,Free,,PA
Fort Point NHS,Fort Point National Historic Site,55040.0,67846.0,74447.0,77969.0,84595.0,84539.0,105457.0,92176.0,83288.0,85628.0,74103.0,70366.0,955454.0,7FF57085-3B53-498D-86B5-96F5F1493A06,fopo,National Historic Site,37.80837439,-122.473747,Free,,CA
Fort Pulaski NM,Fort Pulaski National Monument,35960.0,38244.0,47820.0,42930.0,46018.0,43948.0,42310.0,36636.0,32786.0,39269.0,32890.0,32266.0,471077.0,3249A652-F901-40F2-A608-635B0F41574B,fopu,National Monument,32.0308274,-80.93361681,10.00,A site fee of $10 per person is required to visit Fort Pulaski and the surrounding areas. Admission is valid for 7 consecutive days. Youth 15 and under are admitted free of charge.,GA
Fort Raleigh NHS,Fort Raleigh National Historic Site,5111.0,7838.0,13394.0,24040.0,33801.0,54260.0,47974.0,39328.0,22629.0,16206.0,13732.0,9337.0,287650.0,C84BCBF8-FC75-48BB-8032-6FF56AB2DCED,fora,National Historic Site,35.93278602,-75.71496865,Free,,NC
Fort Scott NHS,Fort Scott National Historic Site,439.0,586.0,1258.0,1763.0,4109.0,4607.0,2659.0,1961.0,3583.0,3641.0,1150.0,1098.0,26854.0,8CA5777A-FFDF-45AE-9705-C4DE268D1BCC,fosc,National Historic Site,37.84358849,-94.70429174,Free,,KS
Fort Smith NHS,Fort Smith National Historic Site,4699.0,4176.0,6967.0,8535.0,11510.0,11548.0,18120.0,13227.0,15501.0,13883.0,8585.0,6478.0,123229.0,54DC5EA0-2635-4154-BBD0-AF0F38D76933,fosm,National Historic Site,35.38834746,-94.43129079,10.00,"The Museum is the only location that charges a fee, the fee is per person","AR,OK"
Fort Stanwix NM,Fort Stanwix National Monument,887.0,1368.0,2737.0,3481.0,5877.0,8106.0,21191.0,9989.0,7087.0,6982.0,2218.0,1793.0,71716.0,D57C8F0D-71E9-46D7-B00B-001BC7E39096,fost,National Monument,43.21053441,-75.45557626,Free,,NY
Fort Sumter and Fort Moultrie NHP,Fort Sumter and Fort Moultrie National Historical Park,9231.0,19136.0,42461.0,50721.0,38860.0,44394.0,44930.0,30124.0,26937.0,33688.0,23544.0,21446.0,385472.0,372AF558-26C8-461F-B011-AF359276398D,fosu,National Historical Park,32.75654469,-79.87068744,10.00,Fort Moultrie charges a per person entrance fee for adults. Anyone 16 years old or older is considered an adult.,SC
Fort Union NM,Fort Union National Monument,430.0,419.0,914.0,522.0,169.0,850.0,924.0,674.0,782.0,903.0,538.0,432.0,7557.0,FB1AE18D-522F-434B-9983-3D0194CE1995,foun,National Monument,35.90700629,-105.01451850000001,Free,,NM
Fort Union Trading Post NHS,Fort Union Trading Post National Historic Site,22.0,26.0,100.0,187.0,1350.0,3861.0,2416.0,2403.0,1751.0,596.0,79.0,31.0,12822.0,60B1534B-5C3A-402A-ABC6-700B756F69A2,fous,National Historic Site,48.00075828,-104.0375238,Free,,"MT,ND"
Fort Vancouver NHS,Fort Vancouver National Historic Site,50218.0,67568.0,100274.0,81758.0,109766.0,85312.0,128087.0,116801.0,74660.0,58835.0,41630.0,49409.0,964318.0,B13AB831-6806-4CBA-A93D-4E2FCC39F6F7,fova,National Historic Site,45.62234841,-122.66170430000001,10.00,Entrance fees are required to enter Fort Vancouver for visitors ages 16 and up.,"OR,WA"
Fort Washington Park,Fort Washington Park,12140.0,17928.0,35753.0,41443.0,34039.0,35602.0,52546.0,56183.0,40095.0,35166.0,23168.0,22854.0,406917.0,E49B3D75-8676-4417-BFAD-8B3E23B1418B,fowa,Park,38.7117,-77.0302,Free,,MD
Fossil Butte NM,Fossil Butte National Monument,80.0,143.0,362.0,625.0,2134.0,3691.0,3768.0,2705.0,2601.0,1505.0,175.0,90.0,17879.0,57CCF213-6285-408F-AD58-CC2DB9D5B6C1,fobu,National Monument,41.85635223,-110.7624754,Free,,WY
Franklin Delano Roosevelt MEM,Franklin Delano Roosevelt Memorial,60104.0,119419.0,615826.0,432373.0,346854.0,339107.0,310988.0,240173.0,235617.0,273173.0,209806.0,107873.0,3291313.0,8F8CC788-D1BB-42BC-A41E-B442E2B001C8,frde,,38.88341274,-77.04311542,Free,,DC
Frederick Douglass NHS,Frederick Douglass National Historic Site,51.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,F6831504-A456-45C8-B87B-0FCE1D849A12,frdo,National Historic Site,38.86298458,-76.98508147,Free,,DC
Frederick Law Olmsted NHS,Frederick Law Olmsted National Historic Site,42.0,40.0,618.0,1386.0,1090.0,1100.0,2347.0,1956.0,2317.0,1297.0,1508.0,447.0,14148.0,CDC0FE7F-C249-466C-88B2-B81FC5279B91,frla,National Historic Site,42.32424266,-71.13202567,Free,,MA
Fredericksburg & Spotsylvania NMP,Fredericksburg & Spotsylvania National Military Park,56470.0,48521.0,66770.0,61650.0,55115.0,68261.0,74875.0,64709.0,62085.0,80550.0,69806.0,47484.0,756296.0,52430E36-3361-4BB8-BE6F-0F2834E50CB3,frsp,National Military Park,38.29378,-77.46734000000001,Free,,VA
Friendship Hill NHS,Friendship Hill National Historic Site,544.0,679.0,744.0,1602.0,1839.0,1773.0,1735.0,1660.0,2023.0,1788.0,1190.0,818.0,16395.0,F6D0ABED-2C07-4194-8CB7-09476271EDB9,frhi,National Historic Site,39.77543423,-79.92504169,Free,,PA
Gateway Arch NP,Gateway Arch National Park,37942.0,38975.0,107142.0,102741.0,111872.0,162685.0,543140.0,153348.0,108741.0,111471.0,80576.0,60141.0,1618774.0,BD588493-EC77-4B97-B73E-3BA444864DC5,jeff,National Park,38.62580689999999,-90.1892508,3.00,"When park visitors 16 and up buy tram or movie tickets, $3.00 of their ticket price goes to the National Park Service (entrance fee). Therefore, if visitors have an America the Beautiful National Parks and Federal Recreational Lands Pass, they do not have to pay that $3.00 fee and they effectively get a $3.00 ""discount"" on the tram ride to the top and the documentary movie.

If you wish to browse in the Museum and Visitor Center, there is no entrance fee.",MO
Gateway NRA,Gateway National Recreation Area,414667.0,463345.0,515371.0,517465.0,710872.0,1003597.0,1195894.0,1120270.0,929607.0,726679.0,629291.0,501233.0,8728291.0,BBC5BE3F-E921-40B5-A850-F259D9FAF88C,gate,National Recreation Area,40.56536246,-73.9171087,Free,,"NY,NJ"
Gauley River NRA,Gauley River National Recreation Area,3645.0,5248.0,7958.0,10715.0,13662.0,12850.0,18276.0,11586.0,50789.0,22048.0,3963.0,2770.0,163510.0,A1994071-1BCB-4C14-9C21-108348882067,gari,National Recreation Area,38.20614947,-81.00420836,Free,,WV
General Grant NMEM,General Grant National Memorial,5430.0,1981.0,6432.0,8934.0,7719.0,9556.0,10674.0,26942.0,36416.0,7119.0,4549.0,6790.0,132542.0,99F1F4ED-5B14-4756-B0EB-FF251B1A12BD,gegr,National Memorial,40.81332817,-73.96331542,Free,,NY
George Rogers Clark NHP,George Rogers Clark National Historical Park,2101.0,2439.0,5189.0,8533.0,29727.0,10862.0,25280.0,12347.0,7360.0,11846.0,4078.0,3467.0,123229.0,48C4BDA1-98A3-441A-87FF-BAAB3AA043AE,gero,National Historical Park,38.67912659,-87.53545212,Free,,IN
George Washington Birthplace NM,George Washington Birthplace National Monument,1142.0,928.0,6496.0,10392.0,6636.0,11728.0,18389.0,13132.0,5120.0,10367.0,10454.0,1450.0,96234.0,542D7CC3-B948-4891-9811-829661F30686,gewa,National Monument,38.19362603,-76.92079458,Free,,VA
George Washington Carver NM,George Washington Carver National Monument,722.0,767.0,2714.0,4029.0,3275.0,2935.0,3334.0,2303.0,3344.0,3500.0,1807.0,995.0,29725.0,56A5A3B1-4F49-4517-86B8-AE2F272D0C42,gwca,National Monument,36.987132200000005,-94.35522737,Free,,MO
George Washington MEM PKWY,George Washington Memorial Parkway,180654.0,297723.0,522693.0,736544.0,769505.0,759290.0,854467.0,904033.0,675123.0,694550.0,597400.0,405138.0,7397120.0,E6D5BB41-3251-469F-ABDA-7B43B966F0CF,gwmp,Memorial Parkway,38.9628,-77.1495,20.00,"Admits one single, private, non-commercial vehicle and all its passengers. Organized groups are not eligible for the vehicle permit. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park.","DC,MD,VA"
Gettysburg NMP,Gettysburg National Military Park,13010.0,22692.0,47918.0,85755.0,103064.0,105721.0,99462.0,68686.0,63298.0,88445.0,47370.0,19155.0,764576.0,8C330DA3-6194-4034-8948-C6B6772B82A0,gett,National Military Park,39.81557366,-77.23246758,Free,,PA
Gila Cliff Dwellings NM,Gila Cliff Dwellings National Monument,1494.0,2036.0,5124.0,4451.0,5336.0,3472.0,4386.0,2561.0,4318.0,4995.0,3229.0,2206.0,43608.0,1BB1F955-A830-4E85-A80F-5E940A143CE5,gicl,National Monument,33.22715258,-108.27067109999999,Free,,NM
Glacier Bay NP & PRES,Glacier Bay National Park & Preserve,172.0,22.0,272.0,3813.0,64956.0,90985.0,98596.0,103196.0,80309.0,102993.0,222.0,222.0,545758.0,3682DBDE-6746-4979-86CC-2358C5B72661,glba,National Park & Preserve,58.80086718,-136.84075790000003,Free,,AK
Glacier NP,Glacier National Park,17539.0,18461.0,24030.0,36518.0,181387.0,529098.0,730549.0,675335.0,544575.0,115740.0,20914.0,14312.0,2908458.0,2B5178C6-2446-488C-AC31-47E3CEBF7159,glac,National Park,48.68414678,-113.80093059999999,35.00,"(Winter Rate - $25.00, November 1 to April 30)
This is a entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The pass is good for seven days and is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park pass.",MT
Glen Canyon NRA,Glen Canyon National Recreation Area,52037.0,64302.0,144474.0,220431.0,232205.0,369862.0,424553.0,403688.0,284793.0,293541.0,238331.0,114559.0,2842776.0,F7EB51F0-240D-49BC-968C-792756A3B1A0,glca,National Recreation Area,36.9357464677,-111.48559426799999,30.00,"Admits one single, private, non-commercial vehicle and all its passengers.","AZ,UT"
Golden Gate NRA,Golden Gate National Recreation Area,1012454.0,1020494.0,1221045.0,1284656.0,1304695.0,1487409.0,1634356.0,1645914.0,1311460.0,1281009.0,1223099.0,1212320.0,15638911.0,0E797FA8-6E31-418B-A68F-13CEE37A2AF5,goga,National Recreation Area,37.85982543,-122.6007386,Free,,CA
Golden Spike NHP,Golden Spike National Historical Park,1352.0,1576.0,2422.0,3735.0,7970.0,7404.0,7672.0,5478.0,5175.0,3448.0,1138.0,1672.0,49042.0,8F858FBE-8E28-491A-BCBD-67E23D535EEA,gosp,National Historical Park,41.61947508,-112.5242653,20.00,"The per vehicle fee covers all occupants in a single private vehicle. The fee will allow visitors access to all resources open to the public, including auto tours, walking trails, films, exhibit areas, ranger guided programs, and other seasonal activities. 

If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder and anyone that is in their personal vehicle.",UT
Grand Canyon NP,Grand Canyon National Park,180094.0,191984.0,392273.0,438576.0,496238.0,510239.0,543760.0,500265.0,439611.0,442697.0,323112.0,273252.0,4732101.0,B7FF43E5-3A95-4C8E-8DBE-72D8608D6588,grca,National Park,36.0001165336,-112.121516363,35.00,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit.",AZ
Grand Portage NM,Grand Portage National Monument,966.0,1359.0,2395.0,2447.0,5266.0,13644.0,20230.0,23057.0,13007.0,7620.0,1490.0,1627.0,93108.0,E463E13F-FCD4-41B3-AEF3-BA3199E04399,grpo,National Monument,47.99294217,-89.75573031,Free,,MN
Grand Teton NP,Grand Teton National Park,59920.0,62198.0,66862.0,67541.0,235020.0,497531.0,558710.0,539171.0,441995.0,196727.0,33348.0,47200.0,2806223.0,FF73E2AA-E274-44E1-A8F5-9DD998B0F579,grte,National Park,43.81853565,-110.7054666,35.00,"Park entrance fee for 7 days for a private, non-commercial vehicle.",WY
Grant-Kohrs Ranch NHS,Grant-Kohrs Ranch National Historic Site,580.0,506.0,860.0,987.0,2152.0,3457.0,4181.0,3414.0,2201.0,5009.0,493.0,511.0,24351.0,72A30002-12FA-4738-BCA7-1FA8062214CB,grko,National Historic Site,46.41358923,-112.7467024,Free,,MT
Great Basin NP,Great Basin National Park,2673.0,3061.0,4114.0,9416.0,15517.0,24829.0,18648.0,19705.0,25092.0,15358.0,2521.0,1181.0,142115.0,4C1A549B-080F-4522-9CA7-67BB5A0845CA,grba,National Park,38.94617378,-114.25797820000001,Free,,NV
Great Sand Dunes NP & PRES,Great Sand Dunes National Park & Preserve,6013.0,8459.0,27374.0,30117.0,70542.0,87842.0,85479.0,64944.0,51502.0,40677.0,13024.0,7455.0,493428.0,461D40CC-4379-4C1B-ADB8-3563147F61A1,grsa,National Park & Preserve,37.79256812,-105.5919572,25.00,"Fees are charged only when the entrance station is open in the spring, summer, and fall seasons or when the visitor center is open in the winter season. Fees can be paid by cash, check, or credit card. Passes may also be purchased in advance online through recreation.gov .",CO
Great Smoky Mountains NP,Great Smoky Mountains National Park,409267.0,536592.0,878917.0,1014878.0,1227558.0,1486757.0,1560696.0,1266172.0,1315818.0,1624908.0,945444.0,670626.0,12937633.0,D9819727-18DF-4A84-BDDE-D4F2696DE340,grsm,National Park,35.60116374,-83.50818326,Free,,"NC,TN"
Greenbelt Park,Greenbelt Park,2865.0,6158.0,3400.0,7389.0,15787.0,10112.0,4475.0,0.0,0.0,5962.0,2926.0,1726.0,60800.0,8CEE28AB-50AE-4AC6-ACEF-B209A5346743,gree,Park,38.98328267,-76.89722133,Free,,MD
Guadalupe Mountains NP,Guadalupe Mountains National Park,13329.0,14698.0,36310.0,26643.0,18145.0,10855.0,11908.0,9606.0,14204.0,23078.0,20482.0,20729.0,219987.0,6510001B-685D-4688-A963-4ECE7AB609DB,gumo,National Park,31.92304462,-104.885527,10.00,"An entrance fee of $10 per person (16 years of age and older) is required; entrance fees/passes permit 1-7 consecutive days of use in this national park. Holders of the Annual, Senior, Military, 4th grade and Access Pass can bring in 3 adults free of charge under their pass. Any pass must be displayed in a vehicle while in the national park.",TX
Guilford Courthouse NMP,Guilford Courthouse National Military Park,21559.0,29323.0,35006.0,35281.0,32171.0,31594.0,39325.0,35099.0,34877.0,38082.0,38326.0,18414.0,389057.0,D1417003-3F9E-4FE0-9C6B-8ECE50855C7B,guco,National Military Park,36.13225478,-79.84245609999999,Free,,NC
Gulf Islands NS,Gulf Islands National Seashore,355107.0,358148.0,504219.0,443882.0,574158.0,660420.0,621633.0,507303.0,477261.0,420595.0,354381.0,408048.0,5685155.0,ACA78E27-3C26-4C8B-8CCB-9F0B5BED247F,guis,National Seashore,30.29924926,-87.75064297,Free,,"FL,MS"
Hagerman Fossil Beds NM,Hagerman Fossil Beds National Monument,88.0,160.0,423.0,1304.0,2941.0,5254.0,5327.0,4204.0,2841.0,1910.0,465.0,205.0,25122.0,BEE3E4AA-D61B-4197-A2A0-567D15734766,hafo,National Monument,42.79074114,-114.9443074,Free,,ID
Haleakala NP,Haleakala National Park,71681.0,68985.0,83897.0,89299.0,93713.0,97394.0,104084.0,106137.0,95674.0,96761.0,82116.0,97875.0,1087616.0,,,,,,,,
Hamilton Grange NMEM,Hamilton Grange National Memorial,1140.0,1290.0,1737.0,3043.0,3167.0,4999.0,6828.0,6513.0,3632.0,5088.0,4469.0,3292.0,45198.0,4E169088-14AC-41DB-A6B2-BB3925B1CF0A,hagr,National Memorial,40.81871605,-73.94878487,Free,,NY
Hampton NHS,Hampton National Historic Site,209.0,289.0,412.0,955.0,1075.0,1937.0,1727.0,1276.0,872.0,1175.0,807.0,1772.0,12506.0,5FD56750-4A13-4615-B987-793AC356B320,hamp,National Historic Site,39.4175296,-76.58781182,Free,,MD
Harpers Ferry NHP,Harpers Ferry National Historical Park,3584.0,12690.0,21053.0,46421.0,46497.0,40477.0,66147.0,36484.0,29921.0,52263.0,40848.0,10623.0,407008.0,2828F5DF-F4E9-48DE-9D4D-2EC39E0276B2,hafe,National Historical Park,39.31865949,-77.74088546,20.00,"For a single, private vehicle. Excludes group tours and 7+ passenger vans. Entrance passes are valid for three consecutive days, beginning on date of purchase and are required in all park areas. Fees are payable at the Entrance Station near the park's visitor center, Bolivar Heights, Maryland Heights, Harpers Ferry Train Station, and River Access Parking Lot.","WV,VA,MD"
Harry S Truman NHS,Harry S Truman National Historic Site,275.0,276.0,865.0,1801.0,2637.0,2719.0,2714.0,2741.0,2618.0,2689.0,1361.0,775.0,21471.0,76F393BA-D39F-43E9-B0A3-F746E2FEAD85,hstr,National Historic Site,38.92711967,-94.5162488,Free,,MO
Hawaii Volcanoes NP,Hawaii Volcanoes National Park,131878.0,124763.0,125348.0,117463.0,126309.0,140532.0,157966.0,147497.0,118565.0,121585.0,133092.0,135963.0,1580961.0,,,,,,,,
Herbert Hoover NHS,Herbert Hoover National Historic Site,7853.0,2694.0,4555.0,6424.0,10913.0,13446.0,14363.0,14222.0,9451.0,9915.0,5730.0,4238.0,103804.0,43AC146A-0903-4E4A-BD7D-7169655009C7,heho,National Historic Site,41.66793558,-91.35232139,Free,,IA
Home of Franklin D. Roosevelt NHS,Home of Franklin D. Roosevelt National Historic Site,2698.0,2506.0,4702.0,7688.0,9700.0,11771.0,10320.0,12974.0,10362.0,15381.0,7280.0,5283.0,100665.0,,,,,,,,
Homestead NHP,Homestead National Historical Park,1731.0,1662.0,3287.0,3179.0,6450.0,7465.0,5800.0,3863.0,5001.0,4827.0,2496.0,1853.0,47614.0,3E1E316B-2F1A-4F08-8BD0-AE64761D68C2,home,National Historical Park,40.28802381,-96.83387781,Free,,NE
Hopewell Culture NHP,Hopewell Culture National Historical Park,949.0,836.0,2504.0,3989.0,6237.0,6820.0,8185.0,6437.0,4861.0,6539.0,2939.0,1554.0,51850.0,BE344FC9-4366-493D-B881-4E5AD4973CF5,hocu,National Historical Park,39.31594374,-83.08049456,Free,,OH
Hopewell Furnace NHS,Hopewell Furnace National Historic Site,1178.0,1760.0,1804.0,5992.0,6107.0,4041.0,9565.0,8370.0,6367.0,5371.0,3124.0,3559.0,57238.0,D709F8AB-E094-4C58-8B9E-2E4958AA2BF2,hofu,National Historic Site,40.20610637,-75.76766355,Free,,PA
Horseshoe Bend NMP,Horseshoe Bend National Military Park,4278.0,3791.0,6518.0,5934.0,7408.0,7501.0,6628.0,6294.0,5864.0,5565.0,4756.0,3236.0,67773.0,7565F317-EA13-4E07-9059-D6831CA7E4A9,hobe,National Military Park,32.97668879,-85.73413589,Free,,AL
Hot Springs NP,Hot Springs National Park,152015.0,240294.0,286198.0,290655.0,219394.0,314623.0,224339.0,121300.0,112049.0,231618.0,251837.0,201811.0,2646133.0,ED9C0322-68FB-4DE1-A884-61C623281C9D,hosp,National Park,34.52414366,-93.06332936,Free,,AR
